epoch,train_loss,val_loss
1,3.066827e-01,2.948467e-01
2,2.859384e-01,2.857916e-01
3,2.776079e-01,2.778107e-01
4,2.704065e-01,2.704846e-01
5,2.625118e-01,2.683094e-01
6,2.502186e-01,2.495604e-01
7,2.317580e-01,2.366415e-01
8,2.109928e-01,2.156434e-01
9,1.924227e-01,1.979088e-01
10,1.769556e-01,1.929094e-01
11,1.652861e-01,1.807820e-01
12,1.569715e-01,1.797566e-01
13,1.511249e-01,1.656666e-01
14,1.461144e-01,1.690180e-01
15,1.416047e-01,1.636429e-01
16,1.388004e-01,1.633072e-01
17,1.353686e-01,1.627845e-01
18,1.330981e-01,1.610046e-01
19,1.310245e-01,1.656589e-01
20,1.298890e-01,1.644443e-01
21,1.276676e-01,1.607149e-01
22,1.272325e-01,1.632627e-01
23,1.256767e-01,1.617383e-01
24,1.247867e-01,1.639711e-01
25,1.241522e-01,1.685792e-01
26,1.230862e-01,1.675039e-01
27,1.225818e-01,1.660404e-01
28,1.222825e-01,1.655548e-01
29,1.219296e-01,1.785392e-01
30,1.209389e-01,1.640193e-01
31,1.207485e-01,1.718966e-01
32,1.199347e-01,1.712831e-01
33,1.201005e-01,1.691687e-01
34,1.192136e-01,1.727050e-01
35,1.193470e-01,1.663135e-01
36,1.181847e-01,1.743415e-01
37,1.185859e-01,1.699646e-01
38,1.070521e-01,1.658632e-01
39,1.043328e-01,1.634888e-01
40,1.024957e-01,1.617773e-01
41,1.007091e-01,1.605165e-01
42,9.986921e-02,1.594726e-01
43,9.826045e-02,1.585500e-01
44,9.691119e-02,1.578335e-01
45,9.577874e-02,1.571145e-01
46,9.498043e-02,1.563982e-01
47,9.369946e-02,1.557293e-01
48,9.262164e-02,1.551100e-01
49,9.185694e-02,1.544359e-01
50,9.100488e-02,1.538748e-01
51,9.030244e-02,1.532764e-01
52,8.921965e-02,1.528283e-01
53,8.842052e-02,1.523091e-01
54,8.778121e-02,1.518442e-01
55,8.701641e-02,1.512664e-01
56,8.639099e-02,1.508493e-01
57,8.588570e-02,1.503496e-01
58,8.507026e-02,1.499006e-01
59,8.458973e-02,1.493320e-01
60,8.386337e-02,1.488717e-01
61,8.331603e-02,1.485027e-01
62,8.284554e-02,1.480519e-01
63,8.215439e-02,1.476384e-01
64,8.164978e-02,1.472540e-01
65,8.119762e-02,1.468484e-01
66,8.071684e-02,1.465105e-01
67,8.026292e-02,1.462414e-01
68,7.963737e-02,1.458562e-01
69,7.929272e-02,1.454849e-01
70,7.889494e-02,1.452129e-01
71,7.827573e-02,1.448068e-01
72,7.770275e-02,1.444355e-01
73,7.744048e-02,1.441552e-01
74,7.703321e-02,1.439954e-01
75,7.646261e-02,1.436145e-01
76,7.616298e-02,1.433083e-01
77,7.581701e-02,1.428939e-01
78,7.544010e-02,1.426727e-01
79,7.497891e-02,1.423633e-01
80,7.460806e-02,1.421161e-01
81,7.422476e-02,1.418147e-01
82,7.389266e-02,1.415260e-01
83,7.361658e-02,1.411816e-01
84,7.336162e-02,1.410370e-01
85,7.298487e-02,1.408095e-01
86,7.260029e-02,1.405292e-01
