epoch,train_loss,val_loss
1,2.509188e+00,2.556301e+00
2,2.468950e+00,2.453999e+00
3,2.462789e+00,2.507767e+00
4,2.456721e+00,2.583512e+00
5,2.451064e+00,2.485383e+00
6,2.447957e+00,2.456384e+00
7,2.444009e+00,2.457118e+00
8,2.443942e+00,2.486634e+00
9,2.441768e+00,2.529387e+00
10,2.438803e+00,2.491856e+00
11,2.441161e+00,2.461766e+00
12,2.439007e+00,2.551819e+00
13,2.438296e+00,2.504282e+00
14,2.437158e+00,2.433693e+00
15,2.435335e+00,2.488969e+00
16,2.436979e+00,2.489474e+00
17,2.432959e+00,2.450968e+00
18,2.434246e+00,2.448786e+00
19,2.432258e+00,2.484022e+00
20,2.433841e+00,2.470273e+00
21,2.432901e+00,2.494420e+00
22,2.435204e+00,2.479449e+00
23,2.434183e+00,2.512008e+00
24,2.432386e+00,2.454168e+00
25,2.432618e+00,2.549189e+00
26,2.430125e+00,2.509569e+00
27,2.431518e+00,2.467317e+00
28,2.428519e+00,2.471642e+00
29,2.430319e+00,2.465177e+00
30,2.428355e+00,2.474171e+00
31,2.415227e+00,2.474087e+00
32,2.414691e+00,2.474018e+00
33,2.413842e+00,2.473947e+00
34,2.414454e+00,2.473879e+00
35,2.414393e+00,2.473805e+00
36,2.412334e+00,2.473731e+00
37,2.413619e+00,2.473671e+00
38,2.413818e+00,2.473605e+00
39,2.412821e+00,2.473537e+00
40,2.413587e+00,2.473481e+00
41,2.413546e+00,2.473418e+00
42,2.413129e+00,2.473355e+00
43,2.414162e+00,2.473291e+00
44,2.413439e+00,2.473239e+00
45,2.413164e+00,2.473178e+00
46,2.412461e+00,2.473114e+00
47,2.411655e+00,2.473056e+00
48,2.412423e+00,2.472996e+00
49,2.411884e+00,2.472946e+00
50,2.410694e+00,2.472889e+00
51,2.412316e+00,2.472838e+00
52,2.411726e+00,2.472779e+00
53,2.411713e+00,2.472721e+00
54,2.411526e+00,2.472671e+00
55,2.411130e+00,2.472622e+00
56,2.409696e+00,2.472567e+00
57,2.411326e+00,2.472519e+00
58,2.411306e+00,2.472469e+00
59,2.411864e+00,2.472417e+00
60,2.411391e+00,2.472369e+00
61,2.409732e+00,2.472321e+00
62,2.411606e+00,2.472272e+00
63,2.410889e+00,2.472231e+00
64,2.410376e+00,2.472189e+00
65,2.409083e+00,2.472142e+00
66,2.407793e+00,2.472101e+00
67,2.410102e+00,2.472056e+00
68,2.410108e+00,2.472020e+00
69,2.409993e+00,2.471968e+00
70,2.409975e+00,2.471927e+00
71,2.409689e+00,2.471877e+00
72,2.410540e+00,2.471837e+00
73,2.409541e+00,2.471794e+00
74,2.410611e+00,2.471750e+00
75,2.409146e+00,2.471707e+00
76,2.409329e+00,2.471670e+00
77,2.409448e+00,2.471630e+00
78,2.408591e+00,2.471586e+00
79,2.408746e+00,2.471546e+00
80,2.407262e+00,2.471511e+00
81,2.408670e+00,2.471472e+00
82,2.408253e+00,2.471431e+00
83,2.407358e+00,2.471391e+00
84,2.408326e+00,2.471357e+00
85,2.410000e+00,2.471316e+00
86,2.408107e+00,2.471280e+00
87,2.408572e+00,2.471236e+00
88,2.408178e+00,2.471200e+00
89,2.407939e+00,2.471180e+00
90,2.407624e+00,2.471147e+00
91,2.405947e+00,2.471117e+00
92,2.407409e+00,2.471083e+00
93,2.407248e+00,2.471053e+00
94,2.407277e+00,2.471018e+00
95,2.405504e+00,2.470993e+00
96,2.406213e+00,2.470956e+00
97,2.407107e+00,2.470925e+00
98,2.407155e+00,2.470887e+00
99,2.406659e+00,2.470861e+00
100,2.406799e+00,2.470825e+00
101,2.405803e+00,2.470793e+00
102,2.406590e+00,2.470765e+00
103,2.406679e+00,2.470728e+00
104,2.406854e+00,2.470707e+00
105,2.406970e+00,2.470676e+00
106,2.404496e+00,2.470644e+00
107,2.405548e+00,2.470621e+00
108,2.406296e+00,2.470597e+00
109,2.407125e+00,2.470576e+00
110,2.404381e+00,2.470549e+00
111,2.405481e+00,2.470525e+00
