epoch,train_loss,val_loss
1,2.167779e-01,1.687217e-01
2,1.651382e-01,1.491954e-01
3,1.487321e-01,1.256661e-01
4,1.349482e-01,1.253913e-01
5,1.297028e-01,1.191970e-01
6,1.293166e-01,1.226471e-01
7,2.035943e-01,1.175438e-01
8,1.446091e-01,1.108670e-01
9,1.216514e-01,1.092344e-01
10,1.153558e-01,1.072310e-01
11,1.364996e-01,1.117756e-01
12,1.601885e-01,1.453207e-01
13,1.503889e-01,1.576062e-01
14,1.516023e-01,2.635528e-01
15,1.951979e-01,2.032853e-01
16,1.374700e-01,2.260057e-01
17,1.454342e-01,1.195932e-01
18,1.101265e-01,1.041635e-01
19,1.071985e-01,9.699723e-02
20,1.214396e-01,1.198565e-01
21,1.043424e-01,1.004808e-01
22,1.241895e-01,9.298655e-02
23,1.273004e-01,1.078097e-01
24,1.352810e-01,2.098405e-01
25,1.673738e-01,1.152421e-01
26,1.078126e-01,1.974562e-01
27,1.115109e-01,9.398783e-02
28,1.064810e-01,9.543168e-02
29,1.150934e-01,1.011581e-01
30,9.903606e-02,9.497511e-02
31,1.062879e-01,1.081720e-01
32,9.814970e-02,9.009986e-02
33,1.132589e-01,9.268645e-02
34,1.085779e-01,9.228803e-02
35,9.609021e-02,1.203651e-01
36,1.148856e-01,9.167856e-02
37,1.055059e-01,8.632908e-02
38,9.535587e-02,1.026964e-01
39,1.071324e-01,8.688017e-02
40,9.820872e-02,8.852356e-02
41,9.375636e-02,8.522172e-02
42,1.028848e-01,1.883706e-01
43,1.065532e-01,9.366758e-02
44,9.248255e-02,1.008460e-01
45,9.271464e-02,8.938552e-02
46,9.217473e-02,9.256396e-02
47,9.126772e-02,9.348751e-02
48,9.407990e-02,8.990049e-02
49,9.744367e-02,9.395532e-02
50,9.006250e-02,8.939021e-02
51,8.996948e-02,8.644540e-02
52,1.013750e-01,8.714973e-02
53,8.838889e-02,8.718196e-02
54,8.901694e-02,8.802821e-02
55,1.133165e-01,8.807025e-02
56,8.830132e-02,8.298159e-02
57,9.664093e-02,8.968809e-02
58,8.841384e-02,8.815961e-02
59,8.743749e-02,9.287382e-02
60,8.723087e-02,8.470572e-02
61,8.654582e-02,8.342219e-02
62,1.090235e-01,8.627827e-02
63,1.658490e-01,8.951992e-02
64,8.786315e-02,8.765868e-02
65,9.456823e-02,8.559700e-02
66,8.633309e-02,9.183512e-02
67,8.614588e-02,8.540057e-02
68,1.129581e-01,3.621148e-01
69,2.960236e-01,2.272827e-01
70,2.435089e-01,2.098743e-01
71,1.591450e-01,9.669646e-02
72,9.106387e-02,8.491682e-02
73,8.614215e-02,9.203705e-02
74,8.519556e-02,8.597472e-02
75,8.468055e-02,8.398442e-02
76,8.426772e-02,8.207366e-02
77,8.387062e-02,8.696370e-02
78,8.360909e-02,8.406060e-02
79,8.330997e-02,8.890262e-02
80,8.298176e-02,8.961715e-02
81,1.156500e-01,1.836347e-01
82,1.192560e-01,8.810924e-02
83,8.345510e-02,8.489081e-02
84,8.197254e-02,9.005722e-02
85,1.013655e-01,8.494680e-02
86,8.128911e-02,8.746761e-02
87,8.117797e-02,8.594691e-02
88,8.097228e-02,8.672868e-02
89,8.064652e-02,8.557687e-02
90,8.049355e-02,8.764791e-02
91,8.011750e-02,8.351445e-02
92,9.541901e-02,8.302946e-02
93,7.919829e-02,8.438588e-02
94,7.926977e-02,8.850523e-02
95,7.902242e-02,8.646739e-02
96,7.853422e-02,8.458069e-02
97,7.827083e-02,8.674039e-02
98,7.796694e-02,8.472160e-02
99,7.770854e-02,8.630695e-02
100,7.754442e-02,8.883392e-02
101,8.918266e-02,1.064778e-01
102,7.696568e-02,9.023167e-02
103,7.680753e-02,8.964938e-02
104,7.676737e-02,8.571267e-02
105,7.607123e-02,8.689436e-02
106,7.631818e-02,9.120500e-02
107,7.562752e-02,9.462347e-02
108,1.163343e-01,8.710847e-02
109,9.139154e-02,8.525505e-02
110,7.470912e-02,8.599034e-02
111,7.440092e-02,8.946941e-02
112,9.524661e-02,1.755856e-01
113,1.089012e-01,8.634142e-02
114,7.469822e-02,8.840745e-02
115,7.361300e-02,8.867263e-02
116,7.302257e-02,8.761470e-02
117,7.291250e-02,9.210466e-02
118,7.270613e-02,9.674596e-02
119,7.224142e-02,8.778161e-02
120,8.382850e-02,8.851868e-02
121,7.153534e-02,8.850293e-02
122,7.138213e-02,8.977349e-02
123,7.120306e-02,8.818547e-02
124,7.069252e-02,8.831480e-02
125,7.008276e-02,9.084707e-02
126,1.059222e-01,8.683062e-02
127,7.003660e-02,8.797201e-02
128,6.964679e-02,8.639246e-02
129,6.908417e-02,9.260532e-02
