epoch,train_loss,val_loss
1,8.103194e-01,4.370516e-01
2,2.736526e-01,2.016359e-01
3,1.669528e-01,1.603867e-01
4,1.466647e-01,1.447609e-01
5,1.380211e-01,1.416968e-01
6,1.302942e-01,1.394256e-01
7,1.299724e-01,1.387019e-01
8,1.266002e-01,1.311458e-01
9,1.270670e-01,1.361815e-01
10,1.254778e-01,1.284352e-01
11,1.227083e-01,1.290708e-01
12,1.234243e-01,1.293817e-01
13,1.203921e-01,1.272807e-01
14,1.215345e-01,1.256095e-01
15,1.203138e-01,1.232221e-01
16,1.191873e-01,1.270794e-01
17,1.195259e-01,1.240518e-01
18,1.158339e-01,1.207060e-01
19,1.001021e-01,8.004405e-02
20,6.541379e-02,6.285377e-02
21,5.447642e-02,5.456730e-02
22,4.690899e-02,4.873857e-02
23,4.644244e-02,4.720648e-02
24,4.225524e-02,4.514502e-02
25,3.994018e-02,4.267680e-02
26,4.034739e-02,4.502099e-02
27,3.812019e-02,4.235775e-02
28,3.622560e-02,4.255060e-02
29,3.522018e-02,3.979622e-02
30,3.464861e-02,4.366521e-02
31,3.455444e-02,3.873964e-02
32,3.459981e-02,3.892832e-02
33,3.249538e-02,3.491601e-02
34,3.209451e-02,3.641364e-02
35,3.236394e-02,3.878404e-02
36,3.395123e-02,3.864066e-02
37,3.387641e-02,3.763154e-02
38,3.240422e-02,3.684489e-02
39,3.089338e-02,3.600579e-02
40,3.058422e-02,3.742305e-02
41,3.085104e-02,3.696102e-02
42,3.080538e-02,3.846226e-02
43,3.115919e-02,3.382897e-02
44,3.017105e-02,3.453079e-02
45,2.956927e-02,3.356464e-02
46,2.888348e-02,3.478594e-02
47,2.911885e-02,3.331769e-02
48,2.985097e-02,3.473279e-02
49,3.074684e-02,3.465436e-02
50,2.864452e-02,3.238919e-02
51,2.933951e-02,3.735125e-02
52,2.977022e-02,3.501855e-02
53,2.840589e-02,3.679980e-02
54,2.979625e-02,3.501667e-02
55,2.934650e-02,3.418392e-02
56,2.771457e-02,3.370029e-02
57,2.680319e-02,3.135908e-02
58,2.415041e-02,3.083958e-02
59,2.124877e-02,2.812261e-02
60,1.961746e-02,2.475641e-02
61,1.889037e-02,2.620532e-02
62,1.946534e-02,2.604862e-02
63,1.799222e-02,2.223727e-02
64,1.671041e-02,2.597277e-02
65,1.730822e-02,2.448375e-02
66,1.647667e-02,2.605929e-02
67,1.713458e-02,2.276154e-02
68,1.634889e-02,2.162094e-02
69,1.596160e-02,2.215148e-02
70,1.582727e-02,2.354448e-02
71,1.598907e-02,2.202063e-02
72,1.471619e-02,2.193716e-02
73,1.570733e-02,2.220473e-02
74,1.491344e-02,1.938845e-02
75,1.475057e-02,2.051851e-02
76,1.372090e-02,2.035551e-02
77,1.330954e-02,2.087842e-02
78,1.343843e-02,2.011910e-02
79,1.470436e-02,2.235409e-02
80,1.463488e-02,2.189859e-02
81,1.368988e-02,2.039445e-02
82,1.450858e-02,2.013985e-02
83,1.391913e-02,1.859252e-02
84,1.491575e-02,2.034997e-02
85,1.382655e-02,1.993999e-02
86,1.305697e-02,2.218408e-02
87,1.264802e-02,2.443546e-02
88,1.379283e-02,2.069297e-02
89,1.175592e-02,2.033544e-02
90,1.100531e-02,1.913612e-02
91,1.075947e-02,1.893151e-02
92,1.126946e-02,1.809842e-02
93,1.057182e-02,1.828726e-02
94,1.115184e-02,1.702718e-02
95,1.068892e-02,1.796127e-02
96,1.073918e-02,1.902869e-02
97,1.093765e-02,1.753166e-02
98,1.079538e-02,1.839159e-02
99,1.138430e-02,1.677809e-02
100,1.137443e-02,1.913286e-02
101,1.116969e-02,1.818618e-02
102,1.124013e-02,1.938898e-02
103,1.056922e-02,1.791098e-02
104,9.788528e-03,1.881787e-02
105,1.030376e-02,1.815427e-02
106,1.046270e-02,1.586269e-02
107,9.757909e-03,1.647617e-02
108,9.527113e-03,1.602511e-02
109,9.426527e-03,1.608803e-02
110,9.650201e-03,1.520852e-02
111,9.389295e-03,1.638120e-02
112,9.490599e-03,1.597993e-02
113,9.389730e-03,1.589899e-02
114,9.455210e-03,1.595480e-02
115,1.015579e-02,1.566296e-02
116,9.391151e-03,1.653185e-02
117,9.576619e-03,1.404179e-02
118,8.242974e-03,1.467828e-02
119,8.484386e-03,1.425232e-02
120,9.619275e-03,1.590317e-02
121,8.243052e-03,1.578015e-02
122,9.361011e-03,1.675210e-02
123,7.784328e-03,1.555699e-02
124,8.531029e-03,1.522375e-02
125,8.761472e-03,1.674770e-02
126,8.669076e-03,1.619335e-02
127,8.911481e-03,1.732261e-02
128,9.316485e-03,1.492888e-02
129,8.071802e-03,1.491135e-02
130,8.241826e-03,1.472488e-02
131,8.547308e-03,1.652758e-02
132,8.627119e-03,1.840105e-02
133,8.732967e-03,1.479212e-02
134,8.068970e-03,1.420155e-02
135,7.465896e-03,1.380764e-02
136,7.987379e-03,1.396554e-02
137,8.164030e-03,1.543674e-02
138,7.587961e-03,1.499346e-02
139,7.857662e-03,1.727348e-02
140,7.938240e-03,1.482154e-02
141,7.787030e-03,1.519063e-02
142,7.872464e-03,1.487236e-02
143,7.786526e-03,1.383397e-02
144,7.673294e-03,1.441788e-02
145,8.011763e-03,1.495909e-02
146,7.379314e-03,1.498101e-02
147,8.027323e-03,1.583126e-02
148,8.078878e-03,1.655567e-02
149,7.058546e-03,1.488083e-02
150,6.830233e-03,1.461677e-02
