epoch,train_loss,val_loss
1,7.980634e-02,4.491626e-02
2,4.642345e-02,3.608431e-02
3,3.753166e-02,3.045898e-02
4,3.398405e-02,3.640741e-02
5,3.025771e-02,2.100409e-02
6,2.645808e-02,4.117720e-02
7,2.420278e-02,1.913515e-02
8,2.305322e-02,2.626146e-02
9,2.167818e-02,1.913765e-02
10,2.024039e-02,1.729958e-02
11,1.969199e-02,1.510540e-02
12,1.880810e-02,1.512662e-02
13,1.752951e-02,1.531423e-02
14,1.685986e-02,1.500791e-02
15,1.642073e-02,1.494104e-02
16,1.591977e-02,1.581198e-02
17,1.563750e-02,1.439940e-02
18,1.505097e-02,1.569644e-02
19,1.484472e-02,1.227731e-02
20,1.443218e-02,1.559508e-02
21,1.410528e-02,1.165443e-02
22,1.383437e-02,1.225887e-02
23,1.370884e-02,1.511670e-02
24,1.332471e-02,1.291585e-02
25,1.309804e-02,1.173943e-02
26,1.290991e-02,1.226981e-02
27,1.276597e-02,1.442821e-02
28,1.269669e-02,1.200568e-02
29,1.245784e-02,1.180377e-02
30,1.236626e-02,1.183415e-02
31,1.226598e-02,1.185079e-02
32,1.572237e-02,3.485272e-02
33,1.223777e-02,1.236847e-02
34,1.200343e-02,1.117617e-02
35,1.186811e-02,1.244426e-02
36,1.184565e-02,1.080909e-02
37,2.078854e-02,1.349714e-02
38,1.164779e-02,1.161711e-02
39,1.170792e-02,1.129606e-02
40,1.498522e-02,1.120846e-02
41,1.153723e-02,1.170788e-02
42,1.369272e-02,1.137346e-02
43,1.250712e-02,1.114975e-02
44,1.131179e-02,1.175705e-02
45,1.431115e-02,1.068600e-02
46,1.115753e-02,1.059338e-02
47,1.113769e-02,1.167431e-02
48,1.114896e-02,1.072026e-02
49,1.101656e-02,1.174463e-02
50,1.101485e-02,1.054228e-02
51,1.092273e-02,1.120532e-02
52,1.088199e-02,1.172301e-02
53,1.498526e-02,2.131920e-02
54,1.318524e-02,1.043330e-02
55,1.078395e-02,1.146283e-02
56,1.250622e-02,1.096961e-02
57,1.070683e-02,1.057546e-02
58,1.066153e-02,1.061232e-02
59,1.368521e-02,1.046021e-02
60,1.152859e-02,1.076834e-02
61,1.051856e-02,1.189578e-02
62,1.047758e-02,1.135348e-02
63,1.047226e-02,1.218530e-02
64,1.045019e-02,1.125654e-02
65,1.034087e-02,1.057168e-02
66,1.034134e-02,1.093616e-02
67,1.028564e-02,1.166961e-02
68,1.028784e-02,1.082587e-02
69,1.027492e-02,1.097279e-02
70,1.020653e-02,1.086317e-02
71,1.257702e-02,1.135335e-01
72,1.700009e-02,1.086795e-02
73,1.010438e-02,1.067537e-02
74,1.002341e-02,1.135523e-02
75,9.998011e-03,1.117032e-02
76,1.609223e-02,1.049084e-02
77,9.913137e-03,1.126547e-02
78,9.953465e-03,1.038822e-02
79,1.114375e-02,1.162049e-02
80,9.845511e-03,1.199677e-02
81,1.095800e-02,1.055398e-02
82,1.174355e-02,1.091406e-02
83,9.768173e-03,1.129145e-02
84,9.759988e-03,1.112001e-02
85,9.720511e-03,1.110056e-02
86,9.692720e-03,1.048020e-02
87,9.667693e-03,1.169296e-02
88,1.333580e-02,1.079463e-02
89,9.546032e-03,1.083104e-02
90,9.560153e-03,1.117768e-02
91,1.013366e-02,6.252220e-02
92,1.206058e-02,1.173125e-02
93,9.481961e-03,1.120870e-02
94,9.431259e-03,1.099232e-02
95,9.405843e-03,1.226895e-02
96,9.352462e-03,1.304761e-02
97,9.361016e-03,1.113913e-02
98,9.342420e-03,1.083339e-02
99,9.312907e-03,1.132063e-02
100,9.275479e-03,1.072899e-02
101,9.200764e-03,1.174263e-02
102,1.209854e-02,1.177525e-02
103,9.094376e-03,1.078334e-02
104,9.169275e-03,1.078767e-02
105,9.123492e-03,1.118188e-02
106,9.082982e-03,1.178744e-02
107,9.091993e-03,1.139289e-02
108,8.993506e-03,1.103930e-02
109,8.982658e-03,1.095985e-02
110,8.985361e-03,1.139605e-02
111,8.930399e-03,1.094443e-02
112,8.924124e-03,1.120447e-02
113,1.080675e-02,1.065205e-02
114,9.301200e-03,1.107091e-02
115,8.949599e-03,1.087889e-02
