epoch,train_loss,val_loss
1,3.073672e-01,2.736436e-01
2,2.703811e-01,2.699263e-01
3,2.638229e-01,2.662529e-01
4,2.598148e-01,2.618845e-01
5,2.592785e-01,2.567824e-01
6,2.554352e-01,2.635696e-01
7,2.553360e-01,2.564703e-01
8,2.535883e-01,2.481357e-01
9,2.522936e-01,2.488945e-01
10,2.506461e-01,2.723602e-01
11,2.505116e-01,2.462958e-01
12,2.493343e-01,2.633086e-01
13,2.475480e-01,2.553998e-01
14,2.479829e-01,2.459162e-01
15,2.468154e-01,2.468961e-01
16,2.450475e-01,2.533687e-01
17,2.452498e-01,2.510819e-01
18,2.445211e-01,2.422107e-01
19,2.440360e-01,2.487392e-01
20,2.431513e-01,2.434711e-01
21,2.407786e-01,2.468782e-01
22,2.407632e-01,2.450738e-01
23,2.418580e-01,2.441064e-01
24,2.420435e-01,2.432964e-01
25,2.410591e-01,2.442973e-01
26,2.397240e-01,2.389293e-01
27,2.392403e-01,2.477925e-01
28,2.398242e-01,2.532683e-01
29,2.388592e-01,2.398530e-01
30,2.385987e-01,2.514457e-01
31,2.382900e-01,2.405783e-01
32,2.380042e-01,2.426984e-01
33,2.367158e-01,2.381236e-01
34,2.368944e-01,2.485216e-01
35,2.367338e-01,2.400204e-01
36,2.363100e-01,2.463035e-01
37,2.355309e-01,2.404287e-01
38,2.349400e-01,2.332506e-01
39,2.357495e-01,2.493441e-01
40,2.349835e-01,2.520956e-01
41,2.344238e-01,2.422947e-01
42,2.333789e-01,2.344410e-01
43,2.347043e-01,2.419545e-01
44,2.328430e-01,2.341459e-01
45,2.335333e-01,2.421729e-01
46,2.333383e-01,2.345556e-01
47,2.340202e-01,2.371994e-01
48,2.328513e-01,2.352078e-01
49,2.322538e-01,2.420110e-01
50,2.314634e-01,2.468980e-01
51,2.318970e-01,2.427889e-01
52,2.319203e-01,2.447086e-01
53,2.306279e-01,2.444988e-01
54,2.318164e-01,2.392458e-01
55,2.309881e-01,2.432454e-01
56,2.302958e-01,2.362123e-01
57,2.307081e-01,2.327571e-01
58,2.303138e-01,2.315579e-01
59,2.300548e-01,2.390145e-01
60,2.303301e-01,2.391404e-01
61,2.292717e-01,2.354706e-01
62,2.301331e-01,2.363620e-01
63,2.289645e-01,2.401759e-01
64,2.297046e-01,2.385488e-01
65,2.281408e-01,2.344987e-01
66,2.295683e-01,2.351546e-01
67,2.294914e-01,2.386968e-01
68,2.286567e-01,2.351101e-01
69,2.273081e-01,2.399026e-01
70,2.279477e-01,2.572346e-01
71,2.287065e-01,2.342444e-01
72,2.273946e-01,2.352283e-01
73,2.277712e-01,2.437690e-01
74,2.272672e-01,2.325475e-01
75,2.279221e-01,2.404172e-01
76,2.275171e-01,2.355340e-01
77,2.278044e-01,2.346783e-01
78,2.263992e-01,2.349347e-01
79,2.268066e-01,2.309742e-01
80,2.266269e-01,2.360052e-01
81,2.259279e-01,2.371864e-01
82,2.269131e-01,2.355786e-01
83,2.271807e-01,2.378270e-01
84,2.258504e-01,2.353423e-01
85,2.253180e-01,2.360208e-01
86,2.253460e-01,2.292947e-01
