epoch,train_loss,val_loss
1,3.163868e-01,2.747926e-01
2,2.766906e-01,2.641055e-01
3,2.687142e-01,2.596494e-01
4,2.639042e-01,2.557372e-01
5,2.614460e-01,2.510585e-01
6,2.591501e-01,2.495093e-01
7,2.572067e-01,2.491590e-01
8,2.561957e-01,2.479220e-01
9,2.551614e-01,2.491006e-01
10,2.544188e-01,2.548194e-01
11,2.535399e-01,2.425970e-01
12,2.529157e-01,2.468635e-01
13,2.521289e-01,2.459707e-01
14,2.514590e-01,2.452111e-01
15,2.513341e-01,2.483796e-01
16,2.511378e-01,2.435663e-01
17,2.504642e-01,2.427864e-01
18,2.500658e-01,2.419552e-01
19,2.495485e-01,2.474919e-01
20,2.492119e-01,2.409355e-01
21,2.491535e-01,2.446914e-01
22,2.488744e-01,2.402544e-01
23,2.483968e-01,2.412980e-01
24,2.479484e-01,2.382916e-01
25,2.476356e-01,2.409789e-01
26,2.475082e-01,2.410708e-01
27,2.475976e-01,2.426363e-01
28,2.472706e-01,2.395656e-01
29,2.471429e-01,2.423584e-01
30,2.469168e-01,2.434120e-01
31,2.469510e-01,2.409539e-01
32,2.464919e-01,2.396740e-01
33,2.462794e-01,2.412313e-01
34,2.460325e-01,2.391737e-01
35,2.459532e-01,2.377023e-01
36,2.456058e-01,2.384715e-01
37,2.455557e-01,2.441708e-01
38,2.452312e-01,2.365773e-01
39,2.451328e-01,2.372195e-01
40,2.450618e-01,2.416242e-01
41,2.448292e-01,2.419939e-01
42,2.446861e-01,2.368789e-01
43,2.448071e-01,2.381898e-01
44,2.442363e-01,2.377363e-01
45,2.440293e-01,2.374437e-01
46,2.440293e-01,2.380234e-01
47,2.442541e-01,2.391702e-01
48,2.440012e-01,2.385700e-01
49,2.435178e-01,2.357431e-01
50,2.436072e-01,2.368391e-01
51,2.432700e-01,2.375556e-01
52,2.431151e-01,2.367266e-01
53,2.430766e-01,2.417932e-01
54,2.428575e-01,2.349987e-01
55,2.427814e-01,2.380280e-01
56,2.429106e-01,2.380559e-01
57,2.429855e-01,2.411257e-01
58,2.426600e-01,2.357206e-01
59,2.424121e-01,2.381024e-01
60,2.426711e-01,2.372720e-01
61,2.424053e-01,2.362680e-01
62,2.421613e-01,2.408945e-01
63,2.422378e-01,2.355143e-01
64,2.419750e-01,2.358620e-01
65,2.422912e-01,2.389933e-01
66,2.416831e-01,2.346550e-01
67,2.417008e-01,2.350596e-01
68,2.417762e-01,2.338100e-01
69,2.414486e-01,2.334007e-01
70,2.416088e-01,2.360844e-01
71,2.414833e-01,2.406784e-01
72,2.412602e-01,2.412433e-01
73,2.410526e-01,2.338509e-01
74,2.412796e-01,2.349728e-01
75,2.411997e-01,2.376686e-01
76,2.410282e-01,2.344389e-01
77,2.409870e-01,2.374809e-01
78,2.408787e-01,2.344306e-01
79,2.409939e-01,2.333415e-01
80,2.408038e-01,2.372160e-01
81,2.406103e-01,2.360370e-01
82,2.411270e-01,2.382794e-01
83,2.407327e-01,2.369665e-01
84,2.407649e-01,2.347523e-01
85,2.409352e-01,2.386092e-01
86,2.407853e-01,2.356314e-01
87,2.406148e-01,2.344432e-01
88,2.406711e-01,2.355134e-01
89,2.405957e-01,2.365020e-01
90,2.406843e-01,2.340634e-01
91,2.405781e-01,2.329441e-01
92,2.401534e-01,2.341569e-01
93,2.403050e-01,2.342567e-01
94,2.403434e-01,2.372225e-01
95,2.405412e-01,2.390083e-01
96,2.406243e-01,2.335497e-01
97,2.405052e-01,2.333105e-01
98,2.400314e-01,2.375614e-01
99,2.402222e-01,2.323281e-01
100,2.399855e-01,2.325203e-01
101,2.399477e-01,2.359503e-01
102,2.402866e-01,2.357734e-01
103,2.400425e-01,2.343886e-01
104,2.402426e-01,2.335273e-01
105,2.396901e-01,2.330219e-01
106,2.401017e-01,2.353964e-01
107,2.396776e-01,2.350264e-01
108,2.397413e-01,2.378710e-01
109,2.397631e-01,2.334947e-01
110,2.394635e-01,2.366578e-01
111,2.399018e-01,2.336829e-01
112,2.397264e-01,2.349799e-01
113,2.396485e-01,2.337746e-01
114,2.395344e-01,2.337882e-01
115,2.396321e-01,2.350580e-01
116,2.396263e-01,2.317441e-01
117,2.394973e-01,2.330596e-01
118,2.393183e-01,2.351239e-01
119,2.395191e-01,2.350397e-01
120,2.398754e-01,2.353265e-01
121,2.392198e-01,2.331254e-01
122,2.394532e-01,2.343812e-01
123,2.393107e-01,2.320162e-01
124,2.394411e-01,2.338826e-01
125,2.392843e-01,2.351968e-01
126,2.391884e-01,2.339030e-01
127,2.392082e-01,2.339497e-01
128,2.393898e-01,2.358243e-01
129,2.393330e-01,2.331331e-01
130,2.389626e-01,2.321999e-01
131,2.391233e-01,2.318627e-01
132,2.391321e-01,2.319718e-01
133,2.391354e-01,2.329929e-01
134,2.389864e-01,2.311131e-01
135,2.390178e-01,2.326697e-01
136,2.391465e-01,2.352792e-01
137,2.389215e-01,2.343956e-01
138,2.391041e-01,2.311263e-01
139,2.387067e-01,2.311999e-01
140,2.388146e-01,2.335232e-01
141,2.386844e-01,2.345430e-01
142,2.391277e-01,2.373115e-01
143,2.384857e-01,2.323773e-01
144,2.389942e-01,2.308962e-01
145,2.388064e-01,2.312629e-01
146,2.383669e-01,2.319757e-01
147,2.386267e-01,2.329190e-01
148,2.386567e-01,2.321936e-01
149,2.385579e-01,2.363169e-01
150,2.389059e-01,2.326432e-01
